2024-08-22 00:43:21,902 - INFO - E:\Работа\ЦСИП\project_FX\myproject\myapp\views.py changed, reloading.
2024-08-22 00:43:25,306 - INFO - E:\Работа\ЦСИП\project_FX\myproject\myapp\views.py changed, reloading.
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'противоаварийнаяавтоматика'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'противоаварийнаяавтоматика.пс220квцементная.'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'противоаварийнаяавтоматика.пс220квлитейная.временныерешения.'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'противоаварийнаяавтоматика.пс220квлитейная.постоянныерешения.'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'противоаварийнаяавтоматика.пс220кввойлово.временныерешения.'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'итогопоглаве2'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'итогопоглавам1-7'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'производствостроительно-монтажныхработвзимнеевремяпс-2,1%х0,9х0,8(iiiтемпературнаязона)'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'пусконаладочныеработы(вхолостую80%)'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'пусконаладочныеработы.пс220квцементная.'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'пусконаладочныеработы.пс220квлитейная.'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'пусконаладочныеработы.пс220кввойлово.'
2024-08-22 00:43:50,991 - DEBUG - Ищем 'па' в 'затраты,связанныеспремированиемзавводвдействиепостроенныхобъектов-3,08%'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'затратынапервичнуютехническуютехинвентаризацию–0,12%'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'средстванаорганизациюипроведениеподрядныхторгов(тендеров)'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'средстванаорганизациюипроведениеподрядныхторгов(тендеров)'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'итогопоглаве9'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'итогопоглавам1-9'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'содержаниедирекции(техническогонадзора)строящегосяпредприятия-3,18%*1,037(цисн№12.2019табл.3.2.1на12.2020)'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'итогопоглаве10'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'итогопоглавам1-10'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'проектныеработыстадиипд'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'проектныеработыстадиирд'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'авторскийнадзор-0,2%'
2024-08-22 00:43:50,992 - DEBUG - Ищем 'па' в 'разработкаконкурснойдокументации'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'авторскийнадзор-0,2%'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'итогопоглаве12'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'итогопоглавам1-12'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'резервсредствнанепредвиденныеработыизатраты-3%'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'итогоснепредвиденными'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'ндс-20%'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'всегопосводномурасчетувтекущихценах'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,993 - DEBUG - Ищем 'па' в '(подпись,ф.и.о.)'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в '(подпись,ф.и.о.)'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в '(наименование)'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в 'nan'
2024-08-22 00:43:50,994 - DEBUG - Ищем 'па' в '(должность,подпись,ф.и.о.)'
2024-08-22 00:43:50,995 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'демонтажныеработы.пс220квцементная'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'итогопоглаве1'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'nan'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'электротехническаячасть.пс220квцементная'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'пс220квцементная.электротехническаячасть'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'противоаварийнаяавтоматика'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'противоаварийнаяавтоматика.пс220квцементная.'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'противоаварийнаяавтоматика.пс220квлитейная.временныерешения.'
2024-08-22 00:43:50,996 - DEBUG - Ищем 'упаск' в 'противоаварийнаяавтоматика.пс220квлитейная.постоянныерешения.'
